CPU 3 is empty
cpus=4
 task_client_B.a-2965  [000] 14461.426506313:          sched_wakeup:         kworker/u8:1:2871 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.426515406: (+9093)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/u8:1:2871 [120]
    kworker/u8:1-2871  [000] 14461.426533850: (+18444) sched_wakeup:         sshd:778 [120]<CANT FIND FIELD success> CPU:000
    kworker/u8:1-2871  [000] 14461.426540295: (+6445)  sched_switch:         kworker/u8:1:2871 [120] W ==> sshd:778 [120]
            sshd-778   [000] 14461.426720091: (+179796) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14461.426728258: (+8167)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.426775795: (+47537) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
    kworker/u9:3-569   [000] 14461.426789258: (+13463) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14461.426798498: (+9240)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14461.426802461: (+3963)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.426835184: (+32723) sched_switch:         kworker/u9:3:569 [100] D ==> sshd:778 [120]
            sshd-778   [000] 14461.426863369: (+28185) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
            sshd-778   [000] 14461.426867184: (+3815)  sched_switch:         sshd:778 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.426881887: (+14703) sched_switch:         kworker/u9:3:569 [100] W ==> sshd:778 [120]
            sshd-778   [000] 14461.426900721: (+18834) sched_switch:         sshd:778 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.440976091: (+14075370) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.440986017: (+9926)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14461.440994461: (+8444)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.454988295: (+13993834) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.454992776: (+4481)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.455030961: (+38185) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.456075646: (+1044685) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.456079498: (+3852)  sched_switch:         task_client_B.a:2965 [120] R ==> ngrok:555 [120]
           ngrok-555   [000] 14461.456105313: (+25815) sched_wakeup:         ngrok:552 [120]<CANT FIND FIELD success> CPU:000
           ngrok-555   [000] 14461.456126146: (+20833) sched_switch:         ngrok:555 [120] S ==> ngrok:552 [120]
           ngrok-552   [000] 14461.456144795: (+18649) sched_wakeup:         ngrok:555 [120]<CANT FIND FIELD success> CPU:000
           ngrok-552   [000] 14461.456157072: (+12277) sched_switch:         ngrok:552 [120] S ==> ngrok:555 [120]
           ngrok-555   [000] 14461.456180961: (+23889) sched_switch:         ngrok:555 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.456982350: (+801389) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.456988035: (+5685)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14461.457008850: (+20815) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.457021795: (+12945) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.457025924: (+4129)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14461.457033572: (+7648)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.473341554: (+16307982) sched_wakeup:         kworker/0:1:2864 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.473345517: (+3963)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473366091: (+20574) sched_wakeup:         kworker/0:1:2864 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473395406: (+29315) sched_wakeup:         kworker/0:1:2864 [120]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473416998: (+21592) sched_switch:         kworker/0:1:2864 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.473425572: (+8574)  sched_wakeup:         kworker/0:1:2864 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.473429795: (+4223)  sched_switch:         task_client_B.a:2965 [120] R ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473435480: (+5685)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473441517: (+6037)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473447480: (+5963)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473451424: (+3944)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473453720: (+2296)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473464313: (+10593) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473473480: (+9167)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473477165: (+3685)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473486295: (+9130)  sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473494813: (+8518)  sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473498109: (+3296)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473523869: (+25760) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473536665: (+12796) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473540109: (+3444)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473559646: (+19537) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473571406: (+11760) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473574832: (+3426)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473647109: (+72277) sched_switch:         kworker/u9:3:569 [100] D ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473660850: (+13741) sched_wakeup:         kworker/u9:3:569 [100]<CANT FIND FIELD success> CPU:000
     kworker/0:1-2864  [000] 14461.473664665: (+3815)  sched_switch:         kworker/0:1:2864 [120] R ==> kworker/u9:3:569 [100]
    kworker/u9:3-569   [000] 14461.473673295: (+8630)  sched_switch:         kworker/u9:3:569 [100] W ==> kworker/0:1:2864 [120]
     kworker/0:1-2864  [000] 14461.473677313: (+4018)  sched_switch:         kworker/0:1:2864 [120] W ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.488995202: (+15317889) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.489000665: (+5463)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14461.489005757: (+5092)  sched_switch:         brcmf_wdog/mmc1:237 [120] S ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.505001387: (+15995630) sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.505006646: (+5259)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
 brcmf_wdog/mmc1-237   [000] 14461.505020239: (+13593) sched_switch:         brcmf_wdog/mmc1:237 [120] D ==> task_client_B.a:2965 [120]
 task_client_B.a-2965  [000] 14461.505029387: (+9148)  sched_wakeup:         brcmf_wdog/mmc1:237 [120]<CANT FIND FIELD success> CPU:000
 task_client_B.a-2965  [000] 14461.505033239: (+3852)  sched_switch:         task_client_B.a:2965 [120] R ==> brcmf_wdog/mmc1:237 [120]
